Data Table for Daily Death Trends - California
Date generated: Tue Apr 27 2021 20:32:13 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
California,Apr 26 2021,15,61
California,Apr 25 2021,53,60
California,Apr 24 2021,49,63
California,Apr 23 2021,94,71
California,Apr 22 2021,102,69
California,Apr 21 2021,86,74
California,Apr 20 2021,32,78
California,Apr 19 2021,4,74
California,Apr 18 2021,78,78
California,Apr 17 2021,103,82
California,Apr 16 2021,79,92
California,Apr 15 2021,136,102
California,Apr 14 2021,114,101
California,Apr 13 2021,9,102
California,Apr 12 2021,31,102
California,Apr 11 2021,105,100
California,Apr 10 2021,170,101
California,Apr 9 2021,155,96
California,Apr 8 2021,129,99
California,Apr 7 2021,118,103
California,Apr 6 2021,7,107
California,Apr 5 2021,21,108
California,Apr 4 2021,109,109
California,Apr 3 2021,135,121
California,Apr 2 2021,179,133
California,Apr 1 2021,154,142
California,Mar 31 2021,148,155
California,Mar 30 2021,10,170
California,Mar 29 2021,32,176
California,Mar 28 2021,195,232
California,Mar 27 2021,215,211
California,Mar 26 2021,245,187
California,Mar 25 2021,241,185
California,Mar 24 2021,254,181
California,Mar 23 2021,51,174
California,Mar 22 2021,427,173
California,Mar 21 2021,46,126
California,Mar 20 2021,45,139
California,Mar 19 2021,232,162
California,Mar 18 2021,218,129
California,Mar 17 2021,205,136
California,Mar 16 2021,42,139
California,Mar 15 2021,95,158
California,Mar 14 2021,140,158
California,Mar 13 2021,204,175
California,Mar 12 2021,0,206
California,Mar 11 2021,270,263
California,Mar 10 2021,226,263
California,Mar 9 2021,171,271
California,Mar 8 2021,100,290
California,Mar 7 2021,258,306
California,Mar 6 2021,418,292
California,Mar 5 2021,400,295
California,Mar 4 2021,273,293
California,Mar 3 2021,278,298
California,Mar 2 2021,303,304
California,Mar 1 2021,215,292
California,Feb 28 2021,158,295
California,Feb 27 2021,439,312
California,Feb 26 2021,391,318
California,Feb 25 2021,308,323
California,Feb 24 2021,314,338
California,Feb 23 2021,225,350
California,Feb 22 2021,233,327
California,Feb 21 2021,280,323
California,Feb 20 2021,481,341
California,Feb 19 2021,420,334
California,Feb 18 2021,417,352
California,Feb 17 2021,400,358
California,Feb 16 2021,64,375
California,Feb 15 2021,200,413
California,Feb 14 2021,408,414
California,Feb 13 2021,433,398
California,Feb 12 2021,546,425
California,Feb 11 2021,461,427
California,Feb 10 2021,518,454
California,Feb 9 2021,327,449
California,Feb 8 2021,208,463
California,Feb 7 2021,295,463
California,Feb 6 2021,623,490
California,Feb 5 2021,558,492
California,Feb 4 2021,655,500
California,Feb 3 2021,481,512
California,Feb 2 2021,422,543
California,Feb 1 2021,211,541
California,Jan 31 2021,481,558
California,Jan 30 2021,638,550
California,Jan 29 2021,617,544
California,Jan 28 2021,737,565
California,Jan 27 2021,697,541
California,Jan 26 2021,409,541
California,Jan 25 2021,328,503
California,Jan 24 2021,429,485
California,Jan 23 2021,593,485
California,Jan 22 2021,764,496
California,Jan 21 2021,571,478
California,Jan 20 2021,694,475
