Data Table for Daily Death Trends - Florida
Date generated: Tue Apr 27 2021 23:36:39 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Florida,Apr 26 2021,64,63
Florida,Apr 25 2021,36,58
Florida,Apr 24 2021,53,58
Florida,Apr 23 2021,63,61
Florida,Apr 22 2021,80,65
Florida,Apr 21 2021,83,64
Florida,Apr 20 2021,62,59
Florida,Apr 19 2021,32,59
Florida,Apr 18 2021,35,59
Florida,Apr 17 2021,74,55
Florida,Apr 16 2021,92,51
Florida,Apr 15 2021,74,47
Florida,Apr 14 2021,44,48
Florida,Apr 13 2021,64,48
Florida,Apr 12 2021,35,49
Florida,Apr 11 2021,7,49
Florida,Apr 10 2021,46,51
Florida,Apr 9 2021,62,54
Florida,Apr 8 2021,84,58
Florida,Apr 7 2021,42,56
Florida,Apr 6 2021,70,63
Florida,Apr 5 2021,36,66
Florida,Apr 4 2021,22,70
Florida,Apr 3 2021,66,72
Florida,Apr 2 2021,92,67
Florida,Apr 1 2021,69,76
Florida,Mar 31 2021,87,82
Florida,Mar 30 2021,91,74
Florida,Mar 29 2021,69,66
Florida,Mar 28 2021,36,62
Florida,Mar 27 2021,26,61
Florida,Mar 26 2021,159,66
Florida,Mar 25 2021,107,51
Florida,Mar 24 2021,30,49
Florida,Mar 23 2021,41,53
Florida,Mar 22 2021,37,61
Florida,Mar 21 2021,29,69
Florida,Mar 20 2021,62,69
Florida,Mar 19 2021,53,72
Florida,Mar 18 2021,94,79
Florida,Mar 17 2021,55,79
Florida,Mar 16 2021,101,80
Florida,Mar 15 2021,93,83
Florida,Mar 14 2021,30,81
Florida,Mar 13 2021,80,86
Florida,Mar 12 2021,105,89
Florida,Mar 11 2021,92,93
Florida,Mar 10 2021,59,97
Florida,Mar 9 2021,125,107
Florida,Mar 8 2021,81,109
Florida,Mar 7 2021,63,118
Florida,Mar 6 2021,98,126
Florida,Mar 5 2021,135,128
Florida,Mar 4 2021,120,129
Florida,Mar 3 2021,132,132
Florida,Mar 2 2021,136,131
Florida,Mar 1 2021,147,133
Florida,Feb 28 2021,118,135
Florida,Feb 27 2021,110,131
Florida,Feb 26 2021,146,133
Florida,Feb 25 2021,138,143
Florida,Feb 24 2021,127,147
Florida,Feb 23 2021,148,151
Florida,Feb 22 2021,159,161
Florida,Feb 21 2021,93,161
Florida,Feb 20 2021,121,161
Florida,Feb 19 2021,218,161
Florida,Feb 18 2021,163,156
Florida,Feb 17 2021,157,157
Florida,Feb 16 2021,220,158
Florida,Feb 15 2021,155,159
Florida,Feb 14 2021,96,149
Florida,Feb 13 2021,118,154
Florida,Feb 12 2021,183,158
Florida,Feb 11 2021,174,162
Florida,Feb 10 2021,160,169
Florida,Feb 9 2021,232,175
Florida,Feb 8 2021,84,161
Florida,Feb 7 2021,133,179
Florida,Feb 6 2021,142,177
Florida,Feb 5 2021,210,171
Florida,Feb 4 2021,228,173
Florida,Feb 3 2021,197,169
Florida,Feb 2 2021,137,164
Florida,Feb 1 2021,206,177
Florida,Jan 31 2021,119,169
Florida,Jan 30 2021,106,170
Florida,Jan 29 2021,219,177
Florida,Jan 28 2021,202,185
Florida,Jan 27 2021,160,179
Florida,Jan 26 2021,227,176
Florida,Jan 25 2021,153,167
Florida,Jan 24 2021,129,165
Florida,Jan 23 2021,153,165
Florida,Jan 22 2021,272,173
Florida,Jan 21 2021,161,160
Florida,Jan 20 2021,142,168
Florida,Jan 19 2021,162,172
Florida,Jan 18 2021,137,171
Florida,Jan 17 2021,133,175
Florida,Jan 16 2021,205,171
Florida,Jan 15 2021,186,161
Florida,Jan 14 2021,217,161
Florida,Jan 13 2021,169,154
Florida,Jan 12 2021,156,148
Florida,Jan 11 2021,159,140
Florida,Jan 10 2021,108,132
Florida,Jan 9 2021,138,130
Florida,Jan 8 2021,185,141
Florida,Jan 7 2021,164,115
Florida,Jan 6 2021,129,110
Florida,Jan 5 2021,98,111
Florida,Jan 4 2021,103,111
Florida,Jan 3 2021,97,110
Florida,Jan 2 2021,217,107
Florida,Jan 1 2021,0,96
Florida,Dec 31 2020,127,96
Florida,Dec 30 2020,137,96
Florida,Dec 29 2020,101,93
Florida,Dec 28 2020,96,89
Florida,Dec 27 2020,77,92
Florida,Dec 26 2020,140,94
Florida,Dec 25 2020,0,84
Florida,Dec 24 2020,121,98
Florida,Dec 23 2020,120,95
Florida,Dec 22 2020,74,96
Florida,Dec 21 2020,112,96
Florida,Dec 20 2020,95,100
Florida,Dec 19 2020,72,98
Florida,Dec 18 2020,96,98
Florida,Dec 17 2020,101,102
Florida,Dec 16 2020,122,106
Florida,Dec 15 2020,79,100
Florida,Dec 14 2020,137,103
Florida,Dec 13 2020,81,98
Florida,Dec 12 2020,71,100
Florida,Dec 11 2020,123,102
Florida,Dec 10 2020,129,102
Florida,Dec 9 2020,84,98
Florida,Dec 8 2020,96,99
Florida,Dec 7 2020,105,97
Florida,Dec 6 2020,93,96
Florida,Dec 5 2020,90,91
Florida,Dec 4 2020,120,90
Florida,Dec 3 2020,98,75
Florida,Dec 2 2020,97,74
Florida,Dec 1 2020,82,74
Florida,Nov 30 2020,97,73
Florida,Nov 29 2020,58,72
Florida,Nov 28 2020,79,73
Florida,Nov 27 2020,19,67
Florida,Nov 26 2020,90,76
Florida,Nov 25 2020,97,74
Florida,Nov 24 2020,72,73
Florida,Nov 23 2020,94,75
Florida,Nov 22 2020,61,67
Florida,Nov 21 2020,40,63
Florida,Nov 20 2020,80,63
Florida,Nov 19 2020,79,62
Florida,Nov 18 2020,87,61
Florida,Nov 17 2020,85,56
Florida,Nov 16 2020,41,54
Florida,Nov 15 2020,29,56
Florida,Nov 14 2020,44,55
Florida,Nov 13 2020,73,61
Florida,Nov 12 2020,72,58
Florida,Nov 11 2020,52,54
Florida,Nov 10 2020,69,51
Florida,Nov 9 2020,58,49
Florida,Nov 8 2020,21,47
Florida,Nov 7 2020,86,48
Florida,Nov 6 2020,53,42
Florida,Nov 5 2020,39,44
Florida,Nov 4 2020,32,50
Florida,Nov 3 2020,56,55
Florida,Nov 2 2020,45,55
Florida,Nov 1 2020,28,51
Florida,Oct 31 2020,41,49
Florida,Oct 30 2020,72,54
Florida,Oct 29 2020,77,54
Florida,Oct 28 2020,66,51
Florida,Oct 27 2020,56,57
Florida,Oct 26 2020,20,61
Florida,Oct 25 2020,12,66
Florida,Oct 24 2020,77,71
Florida,Oct 23 2020,73,72
Florida,Oct 22 2020,57,75
Florida,Oct 21 2020,105,87
Florida,Oct 20 2020,84,82
Florida,Oct 19 2020,54,87
Florida,Oct 18 2020,50,86
Florida,Oct 17 2020,87,104
Florida,Oct 16 2020,94,92
Florida,Oct 15 2020,141,95
Florida,Oct 14 2020,64,98
Florida,Oct 13 2020,119,109
Florida,Oct 12 2020,48,100
Florida,Oct 11 2020,178,99
Florida,Oct 10 2020,0,79
Florida,Oct 9 2020,118,90
Florida,Oct 8 2020,164,89
Florida,Oct 7 2020,137,83
Florida,Oct 6 2020,55,89
Florida,Oct 5 2020,41,96
Florida,Oct 4 2020,43,91
Florida,Oct 3 2020,74,86
Florida,Oct 2 2020,110,91
Florida,Oct 1 2020,127,92
Florida,Sep 30 2020,174,99
Florida,Sep 29 2020,106,103
Florida,Sep 28 2020,5,102
Florida,Sep 27 2020,10,105
Florida,Sep 26 2020,107,105
Florida,Sep 25 2020,120,98
Florida,Sep 24 2020,177,101
Florida,Sep 23 2020,202,97
Florida,Sep 22 2020,99,89
Florida,Sep 21 2020,21,96
Florida,Sep 20 2020,9,98
Florida,Sep 19 2020,62,98
Florida,Sep 18 2020,139,103
Florida,Sep 17 2020,147,108
Florida,Sep 16 2020,152,117
Florida,Sep 15 2020,145,124
Florida,Sep 14 2020,34,110
Florida,Sep 13 2020,8,108
Florida,Sep 12 2020,98,112
Florida,Sep 11 2020,176,107
Florida,Sep 10 2020,211,96
Florida,Sep 9 2020,200,87
Florida,Sep 8 2020,44,77
Florida,Sep 7 2020,22,97
Florida,Sep 6 2020,38,104
Florida,Sep 5 2020,61,100
Florida,Sep 4 2020,100,113
Florida,Sep 3 2020,149,111
Florida,Sep 2 2020,127,109
Florida,Sep 1 2020,187,113
Florida,Aug 31 2020,68,112
Florida,Aug 30 2020,14,113
Florida,Aug 29 2020,148,118
Florida,Aug 28 2020,89,112
Florida,Aug 27 2020,135,117
Florida,Aug 26 2020,153,114
Florida,Aug 25 2020,183,117
Florida,Aug 24 2020,72,122
Florida,Aug 23 2020,51,124
Florida,Aug 22 2020,106,132
Florida,Aug 21 2020,119,146
Florida,Aug 20 2020,117,162
Florida,Aug 19 2020,174,166
Florida,Aug 18 2020,219,172
Florida,Aug 17 2020,87,168
Florida,Aug 16 2020,107,180
Florida,Aug 15 2020,204,176
Florida,Aug 14 2020,228,173
Florida,Aug 13 2020,148,166
Florida,Aug 12 2020,212,162
Florida,Aug 11 2020,194,164
Florida,Aug 10 2020,173,152
Florida,Aug 9 2020,77,157
Florida,Aug 8 2020,182,155
Florida,Aug 7 2020,180,154
Florida,Aug 6 2020,120,165
Florida,Aug 5 2020,225,184
Florida,Aug 4 2020,110,183
Florida,Aug 3 2020,208,194
Florida,Aug 2 2020,62,175
Florida,Aug 1 2020,179,177
Florida,Jul 31 2020,257,170
